id,age,gen,designation,salary
1,26,M,Technician,85711
2,53,F,Other,94043
3,23,M,Writer,32067
4,26,M,technician,43537
5,33,F,Other,15213
6,42,M,Cheif Executive Officer,98101
7,57,M,Administrator,91344
8,36,M,Administrator,05201
9,29,M,Student,01002
10,53,M,Lawyer,90703
11,39,F,Other,30329
12,28,F,Other,06405
13,47,M,Educator,29206
14,45,M,Scientist,55106
15,49,F,Educator,97301
16,21,M,Entertainment,10309
17,30,M,Programmer,06355
18,35,F,Other,37212
19,40,M,Librarian,02138
20,42,F,Homemaker,95660
21,26,M,Writer,30068
22,25,M,Writer,40206
23,30,F,Artist,48197
24,21,F,Artist,94533
25,39,M,Engineer,55107
26,49,M,Engineer,21044
27,40,F,Librarian,30030
28,32,M,Writer,55369
29,41,M,Programmer,94043
30,7,M,Student,55436
31,24,M,Artist,10003
32,28,F,Student,78741
33,23,M,Student,27510
34,38,F,Administrator,42141
35,20,F,Homemaker,42459
36,19,F,Student,93117
37,23,M,Student,55105
38,28,F,Other,54467
39,41,M,Entertainment,01040
40,38,M,Scientist,27514
41,33,M,Engineer,80525
42,30,M,Administrator,17870
43,29,F,Librarian,20854
44,26,M,Technician,46260
45,29,M,Programmer,50233
46,27,F,marketing,46538
47,53,M,marketing,07102
48,45,M,Administrator,12550
49,23,F,Student,76111
50,21,M,Writer,52245
51,28,M,Educator,16509
52,18,F,Student,55105
53,26,M,Programmer,55414
54,22,M,Cheif Executive Officer,66315
55,37,M,Programmer,01331
56,25,M,Librarian,46260
57,16,M,Cheif Executive Officer,84010
58,27,M,Programmer,52246
59,49,M,Educator,08403
60,50,M,healthcare,06472
61,36,M,Engineer,30040
62,27,F,Administrator,97214
63,31,M,marketing,75240
64,32,M,Educator,43202
65,51,F,Educator,48118
66,23,M,Student,80521
67,17,M,Student,60402
68,19,M,Student,22904
69,24,M,Engineer,55337
70,27,M,Engineer,60067
71,39,M,Scientist,98034
72,48,F,Administrator,73034
73,24,M,Student,41850
74,39,M,Scientist,41850
75,24,M,Entertainment,08816
76,20,M,Student,02215
77,30,M,Technician,29379
78,26,M,Administrator,61801
79,39,F,Administrator,03755
80,34,F,Administrator,52241
81,21,M,Student,21218
82,50,M,Programmer,22902
83,40,M,Other,44133
84,32,M,Cheif Executive Officer,55369
85,51,M,Educator,20003
86,26,M,Administrator,46005
87,47,M,Administrator,89503
88,49,F,Librarian,11701
89,43,F,Administrator,68106
90,60,M,Educator,78155
91,55,M,marketing,01913
92,32,M,Entertainment,80525
93,48,M,Cheif Executive Officer,23112
94,26,M,Student,71457
95,31,M,Administrator,10707
96,25,F,Artist,75206
97,43,M,Artist,98006
98,49,F,Cheif Executive Officer,90291
99,20,M,Student,63129
100,36,M,Cheif Executive Officer,90254
101,15,M,Student,05146
102,38,M,Programmer,30220
103,26,M,Student,55108
104,27,M,Student,55108
105,24,M,Engineer,94043
106,61,M,retired,55125
107,39,M,Scientist,60466
108,44,M,Educator,63130
109,29,M,Other,55423
110,19,M,Student,77840
111,57,M,Engineer,90630
112,30,M,salesman,60613
113,47,M,Cheif Executive Officer,95032
114,27,M,Programmer,75013
115,31,M,Engineer,17110
116,40,M,healthcare,97232
117,20,M,Student,16125
118,21,M,Administrator,90210
119,32,M,Programmer,67401
120,47,F,Other,06260
121,54,M,Librarian,99603
122,32,F,Writer,22206
123,48,F,Artist,20008
124,34,M,Student,60615
125,30,M,Lawyer,22202
